Traffic light,Shipping Point/Receiving Pt,Originating document,STPO_Cut_Off,Plant,Description,Material,Open quantity,Unrestricted
,W001,6200020949,M_15th,GS02,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,50,534
,W001,6200020949,M_15th,GS07,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,144,534
,W001,6200020949,M_15th,GS06,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,114,534
,W001,6200020949,M_15th,GS05,AVANCER 1.2M SILVER WHT 3B,AVR48SWT,114,534
,W001,6200021040,M_15th,GN02,AVANCER PRIME ANTI DUST 0.9M BAKER BRN,AVRPMAD36BBR,4,0
,W001,6200021038,M_15th,GN03,AVANCER PRIME ANTI DUST 0.9M BAKER BRN,AVRPMAD36BBR,54,0
,W001,6200021040,M_15th,GN02,AVANCER PRIME ANTI DUST 1.2M COFFEE BRN,AVRPMAD48CBN,18,0
,W001,6200021038,M_15th,GN03,AVANCER PRIME ANTI DUST 1.2M COFFEE BRN,AVRPMAD48CBN,48,0
,W001,6200020906,M_25th,GE02,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,8,16
,W001,6200020949,M_15th,GN04,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,280,16
,W001,6200020949,M_15th,GN05,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,226,16
,W001,6200020949,M_15th,GN02,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,200,16
,W001,6200020949,M_15th,GN03,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,20,16
,W001,6200020949,M_15th,GW01,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,190,16
,W001,6200020949,M_15th,GW02,AVANCER PRIME ANTI DUST 1.2M COCOA GOLD,AVRPMAD48COCO,8,16
,W001,6200020906,M_25th,GE02,AVANCER PRIME ANT DUST 1.2M INDIGO BLUE,AVRPMAD48IBL,20,46
,W001,6200020906,M_25th,GE04,AVANCER PRIME ANT DUST 1.2M INDIGO BLUE,AVRPMAD48IBL,24,46
,W001,6200020906,M_25th,GE03,AVANCER PRIME ANT DUST 1.2M INDIGO BLUE,AVRPMAD48IBL,2,46
,W001,6200020949,M_15th,GE01,AVANCER PRIME ANT DUST 1.2M INDIGO BLUE,AVRPMAD48IBL,236,46
