,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
265,S-90000407,M_15th,S-90000407_M_15th,,,,,,4.0,,,,,,,,,,,,,,,,,,,
266,S-90000408,M_15th,S-90000408_M_15th,,,,,,,,,,,,,,,,,,,26.0,,,,,,
267,S-90000409,M_15th,S-90000409_M_15th,,,,,,1.0,,,,,,,,,,,,,,,,,,,
268,S-90000410,M_15th,S-90000410_M_15th,,,,,,7.0,,,,,,,,,,,,,,,,,,,
269,S-90000456,M_15th,S-90000456_M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
270,S-90000459,M_15th,S-90000459_M_15th,,,,,,,,,,,,,68.0,,,,,,,,,,,,
271,S-90000467,M_15th,S-90000467_M_15th,,,,,,,,,,,,,,,,,,,,,,,,,4.0
272,S-90000494,M_15th,S-90000494_M_15th,,,,,,,,,20.0,,,120.0,,,,,,,,,,,,,
273,S-90000510,M_15th,S-90000510_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
274,S-90000512,M_15th,S-90000512_M_15th,,,,,,,,,,,,,,,,,,,50.0,,,,,,
275,S-90000514,M_15th,S-90000514_M_15th,,,,,,,,,,,,,64.0,,,,,,,,,,,,
276,S-90000515,M_15th,S-90000515_M_15th,,,,,,,,,,,,,16.0,,10.0,,2.0,,,,,,,,
277,S-90000516,M_15th,S-90000516_M_15th,,,,,,,,,,,,,,,,,8.0,,,,,,,,
278,S-90000521,M_15th,S-90000521_M_15th,,,,,,,,,,,,,4.0,,,,,,,,,,,,
279,S-90000530,M_15th,S-90000530_M_15th,,,,,,,,,,,,,,,30.0,1.0,3.0,,,,,,,,
