,Material,STPO_Cut_Off,Key,Kolkata_STPO,GUWAHATI_STPO,Ranchi_STPO,Patna_STPO,Cuttack_STPO,Delhi_STPO,Ghaziabad_STPO,Chandigarh_STPO,LUCKNOW_STPO,Jalandhar_STPO,Jaipur_STPO,Chennai_STPO,Coimbatore_STPO,Madurai_STPO,Bangalore_STPO,SECUNDERABAD_STPO,Vijayawada_STPO,Cochin_STPO,Bhiwandi_STPO,AHMEDABAD_STPO,Pune_STPO,Indore_STPO,Nagpur_STPO,RAIPUR_STPO,GW07_STPO
226,RIVDASHHS4BRN,M_15th,RIVDASHHS4BRN_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
227,RIVDASHHS4IVY,M_15th,RIVDASHHS4IVY_M_15th,,,,,,,,,,,,,,,,,,,2.0,,,,,,
228,RIVDASHHS6BRN,M_15th,RIVDASHHS6BRN_M_15th,,,,,,,,,,,,,,,,,,,4.0,,,,,,
229,RIVDASHHS6IVY,M_15th,RIVDASHHS6IVY_M_15th,,,,,,,,,,,,,,,,,,,59.0,,,,,,
230,RIVDASHHS6WHT,M_15th,RIVDASHHS6WHT_M_15th,,,,,,,,18.0,,48.0,,,,,126.0,324.0,72.0,294.0,48.0,30.0,,,,,
231,RIVDASHHS6WHT,M_25th,RIVDASHHS6WHT_M_25th,,,,,,,,42.0,,18.0,,,,,6.0,204.0,48.0,198.0,18.0,24.0,,,,,
232,RIVSPRINTHS6WHT,M_15th,RIVSPRINTHS6WHT_M_15th,,,,,,,48.0,48.0,,36.0,18.0,,,,126.0,84.0,,276.0,18.0,30.0,,,,,
233,RIVSPRINTHS6WHT,M_25th,RIVSPRINTHS6WHT_M_25th,,,,,,,36.0,36.0,,12.0,12.0,,,,6.0,42.0,,186.0,18.0,24.0,,,,,
234,S-102001257,M_15th,S-102001257_M_15th,,,,,,2.0,,,,,,,,,,,,,,,,,,,
235,S-90000111,M_15th,S-90000111_M_15th,,,,,,5.0,,,,,,,,,,,,,,,,,,10.0,
236,S-90000248,M_15th,S-90000248_M_15th,,,,,30.0,,,,,,,,,,,,,,,,,,,,
237,S-90000287,M_15th,S-90000287_M_15th,,,,,,,,,10.0,,,,,,,,,75.0,,,,,,,
238,S-90000288,M_15th,S-90000288_M_15th,,,,,,375.0,,,20.0,,,,6.0,,,,,75.0,,,,,,,
239,S-90000299,M_15th,S-90000299_M_15th,30.0,,,,,,,,,,,20.0,,10.0,,,,,,,,,,,
240,S-90000306,M_15th,S-90000306_M_15th,,,,,,,,,,,,,,,,,,75.0,,,,,,,
241,S-90000319,M_15th,S-90000319_M_15th,,,,,,,,,,,,,4.0,,,,,,50.0,,,,,,
242,S-90000321,M_15th,S-90000321_M_15th,,,,,,15.0,,,,50.0,,,,,,,,,,,,,,17.0,
243,S-90000322,M_15th,S-90000322_M_15th,,,,,,,,,,,,,,,,,,,,,,,,10.0,
244,S-90000325,M_15th,S-90000325_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,,
245,S-90000327,M_15th,S-90000327_M_15th,,,,,,,,,,48.0,,,,,,,,,,,,,,20.0,
246,S-90000329,M_15th,S-90000329_M_15th,,,,,,,,,,,,,,,,1.0,,,,,,,,,
247,S-90000333,M_15th,S-90000333_M_15th,,,,,,252.0,,,,,,18.0,,,,,,,,,,,,,
