Material,STPO_Cut_Off,GE01,GE02,GE03,GE04,GE05,GN01,GN02,GN03,GN04,GN05,GN06,GS01,GS02,GS03,GS04,GS05,GS06,GS07,GW01,GW02,GW03,GW04,GW05,GW06,GW07
BRIZDEC48IVY,M_15th,,,,,,,,52.0,,,,,,,,,,,92.0,32.0,56.0,,,,
BRIZDEC48IVY,M_25th,,,,,,,,36.0,,,,,,,,,,,76.0,20.0,40.0,,,,
BRIZDEC48OPW,M_15th,,,,,,,,4.0,,,,,,,,,,,,,,,,,
BRIZDEC48OPW,M_25th,,,,,,,,24.0,,,,,,,,,,,,20.0,,,,,
CAL48SSBB,M_15th,,,,,,,,,24.0,,,,,,,,,,,,,,,,
CB24IVY,M+1_7th,,,,,,,,,,,40.0,,,,,,,,36.0,,188.0,,,,
CB24LB,M+1_7th,,,,,,,,,64.0,,,,,,,,,,,,,,,,
CB24OPW,M+1_7th,,12.0,,,,,,,164.0,,280.0,,,,,,,,136.0,396.0,460.0,,,,
CB36OPW,M_25th,20.0,,,,,,,28.0,68.0,,,,,,,,,,,4.0,,,12.0,,
CB48IVY,M+1_7th,,,,,,,,,,,,,,,2.0,,,,,,,,,,
CB48LB,M+1_7th,,,,,,,,,,,,,1496.0,,,,,716.0,,,,,,,
CB48LB,M_15th,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CB48OPW,M+1_7th,,,,,,,,,,,,,236.0,,,,,364.0,,,,,,,
CB56OPW,M_25th,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
DIGNITAAD48CRML,M_15th,,,,,,,,,,,,,,,,,,,,,,44.0,,,
DIGNITAAD48SONX,M_15th,,,,,,,,,,,,,,,,,,,,,,44.0,,,
DRIFTAIRPLUS12OPW,M+1_7th,,,,,3.0,,,,,,,,,,,,,,,,,,,,
DRIFTAIRPLUS12OPW,M_15th,,1.0,,,,,,,,,,,,,,,,,,,,,,,
DRIFTAIRPLUS12OPW,M_25th,,,,4.0,,,,,,,,,,12.0,,,,,,28.0,,,,,
DRIFTAIRPLUS6OPW,M_25th,,24.0,,,,,,,,,,,,,,,,,,,,,,,
DRIFTAIRPLUS9OPW,M_25th,,24.0,8.0,28.0,,,,,,,,,192.0,,,,,,,,,,,,
DVN48RBN,M_15th,,,,,10.0,,12.0,40.0,,,6.0,,,,,,,,40.0,428.0,,208.0,,,
DVN48RBN,M_25th,,,,,16.0,56.0,16.0,26.0,,,42.0,,,,,,,,114.0,286.0,,140.0,,,
ENT48OPW,M_15th,,,,,,,,,,,,,,,,,,296.0,,,,,,,
ENT48OPW,M_25th,,,,,,84.0,,,,,,,,,,,,,,,,36.0,,,
EXHD300-4-1,M_15th,,,,,,,,,,,,,,,,28.0,,,,,,,,,
EXHD300-4-1,M_25th,80.0,8.0,,19.0,16.0,49.0,46.0,18.0,69.0,23.0,48.0,,23.0,20.0,,81.0,10.0,41.0,136.0,155.0,17.0,58.0,12.0,,
EXHD300-6-1,M_15th,,,,,,97.0,11.0,,46.0,,45.0,,,,,,,,15.0,,,,,,
