Item Name,Date,Bhiwandi,Vijayawada,SECUNDERABAD,Ranchi,RAIPUR,Patna,Nagpur,Pune,Madurai,LUCKNOW,Kolkata,Indore,GUWAHATI,Coimbatore,Cochin,Chennai,Cuttack,Bangalore,AHMEDABAD,Jalandhar,Jaipur,Ghaziabad,Delhi,Chandigarh
DRIFTAIRPLUS12OPW,M_15th,,,,,,,,,,,,,1,,,,,,,,,,,
PFWINDFLO16OPW,M_15th,,,,,,,,,,,,,0,,,,,,,,,,,
RIV48BNC,M_15th,,,,,,,,,,,,,44,,,,,,,,,,,
HSDCR48IVY,M_15th,,,,,,,,,,,,,,196,,,,,,,,,,
JUPITER48BRASS,M_15th,,,,,,,,,,,,,,10,,,,,,,,,,
MOUNTAIR6WHT,M_15th,,,,,,,,,,,,,,200,,,,,,,,,,
NEBULA48ANB,M_15th,,,,,,,,,,,,,,0,,,,,,,0,,0,0
S-90000361,M_15th,,,,,,,,,,,,,,6,,31,,,,,,,,
S-90000456,M_15th,,,,,,,,,,,,,,4,,,,,,,,,,
S-90000459,M_15th,,,,,,,,,,,,,,68,,,,,,,,,,
S-90000514,M_15th,,,,,,,,,,,,,,37,,,,,,,,,,
S-90000521,M_15th,,,,,,,,,,,,,,4,,,,,,,,,,
S-90000614,M_15th,,,,,,,,,,,,,,4,,,,,,,,,,
S-90000615,M_15th,,,,,,,,,,,,,,15,,5,,,,,,,,
S-90000763,M_15th,,,,,,,,,,,,,,10,,,,,,,,,,
S-90000766,M_15th,,,,,,,,,,,,,,4,,,,,,,,,10,
S-90001599,M_15th,,,,,,,,,,,,,,4,,,,,,,,,,
S-90002022,M_15th,,,,,,,,,,,,,,0,,,,,,,,,,
S-90002178,M_15th,,,,,,,,,,,,,,12,,,,,,,,,6,
S-90002573,M_15th,,,,,,,,,,,,,,0,,,,,,,,,,
S-90002574,M_15th,,,,,,,,,,,,,,10,,,,,,,,,,
S-90002578,M_15th,,,,,,,,,,,,,,6,,,,,,,,0,,
S-90002587,M_15th,,,,,,,,,,,,,,7,,,,,,,,,,
S-90002588,M_15th,,,,,,,,,,,,,,0,,,,,,,,,,
S-90002592,M_15th,,,,,,,,,,,,,,20,,,0,,,,,,,
S-90002593,M_15th,,,,,,,,,,,,,,20,,,0,,,,,,0,
S-90002599,M_15th,,,,,,,,,,,,,,4,,,0,,,,,,,
S-90002602,M_15th,,,,,,,,,,,,,,0,,,,,,,,,,
S-KDARY48BRN,M_15th,,,,,,,,,,,,,,1,,,,,,,,,2,
AXIALAIR4IVY,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
ENT48OPW,M_15th,,,,,,,,,,,,,,,296,,,,,,,,,
S-90000306,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
S-90002521,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
S-90002522,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
S-90002523,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
S-90002589,M_15th,,,,,,,,,,,,,,,0,,,,,,,,,
ASWH615HZ-IVY,M_15th,,,,,,,,,,,,,,,,11,,,,,,,,
S-90000333,M_15th,,,,,,,,,,,,,,,,14,,,,,,,0,
S-90000685,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-90000767,M_15th,,,,,,,,,,,,,,,,18,,,,,,,0,
S-90000984,M_15th,,,,,,,,,,,,,,,,5,,,,,,,,
S-90002431,M_15th,,,,,,,,,,,,,,,,12,,10,,,,,,
S-PB12PLDGTCRML,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-PB12PLDGTRSBY,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-PB12PLDGTSONX,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-PT12PLDGTCRML,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-PT12PLDGTRSBY,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-PT12PLDGTSONX,M_15th,,,,,,,,,,,,,,,,0,,,,,,,,
S-90000248,M_15th,,,,,,,,,,,,,,,,,30,,,,,,,
S-90000689,M_15th,,,,,,,,,,,,,,,,,2,,,,,,0,
S-90001377,M_15th,,,,,,,,,,,,,,,,,0,,,,,,,
S-90001594,M_15th,,,,,,,,,,,,,,,,,0,,,0,,,,
S-90001836,M_15th,,,,,,,,,,,,,,,,,0,,,,,,,
S-90002579,M_15th,,,,,,,,,,,,,,,,,0,,,,,,,
S-90002598,M_15th,,,,,,,,,,,,,,,,,7,,,,,0,,
VENTILUS8IVY,M_15th,,,,,,,,,,,,,,,,,24,88,,,,,,
VENTILUS8WHT,M_15th,,,,,,,,,,,,,,,,,24,,,,,56,0,
S-90000340,M_15th,,,,,,,,,,,,,,,,,,0,,,,,,
S-90000384,M_15th,,,,,,,,,,,,,,,,,,0,,,,,,
S-90000406,M_15th,,,,,,,,,,,,,,,,,,0,,,,,,
S-90000827,M_15th,,,,,,,,,,,,,,,,,,4,,,,,,
S-90000834,M_15th,,,,,,,,,,,,,,,,,,4,,,,,,
S-90000996,M_15th,,,,,,,,,,,,,,,,,,1,,,,,,
S-90001604,M_15th,,,,,,,,,,,,,,,,,,6,,,,,,
S-90002032,M_15th,,,,,,,,,,,,,,,,,,0,,,,,,
S-90002432,M_15th,,,,,,,,,,,,,,,,,,10,,,,,,
VENTILUS6IVY,M_15th,,,,,,,,,,,,,,,,,,0,,0,,,,
EXHD380-4-3,M_15th,,,,,,,,,,,,,,,,,,,25,,,,,
PAVAN48IVY,M_15th,,,,,,,,,,,,,,,,,,,8,,,,,
ARYBRZ48BRN,M_15th,,,,,,,,,,,,,,,,,,,,92,2,,,
ARYBRZ48OPW,M_15th,,,,,,,,,,,,,,,,,,,,588,,0,0,0
AURPMAD48HMG,M_15th,,,,,,,,,,,,,,,,,,,,0,,0,,0
S-90000325,M_15th,,,,,,,,,,,,,,,,,,,,48,,,,
S-90000342,M_15th,,,,,,,,,,,,,,,,,,,,24,,,,
S-90000344,M_15th,,,,,,,,,,,,,,,,,,,,24,,,,
S-90000376,M_15th,,,,,,,,,,,,,,,,,,,,108,,,,
S-90000782,M_15th,,,,,,,,,,,,,,,,,,,,6,,,,
S-90000795,M_15th,,,,,,,,,,,,,,,,,,,,6,,,,
S-90001336,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001353,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001354,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001621,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001964,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001965,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90001976,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90002456,M_15th,,,,,,,,,,,,,,,,,,,,0,,0,,
S-90002466,M_15th,,,,,,,,,,,,,,,,,,,,0,,0,,
S-90002507,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
S-90002508,M_15th,,,,,,,,,,,,,,,,,,,,0,,,,
TFWIND16AG-2U-DBL,M_15th,,,,,,,,,,,,,,,,,,,,120,,,,
PVNDEC48IVY,M_15th,,,,,,,,,,,,,,,,,,,,,0,,,
S-90001850,M_15th,,,,,,,,,,,,,,,,,,,,,0,,,
AURPMAD36BKE,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
AURPMAD48BSC,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
AURPMAD48HGD,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
AVRPMAD36BBR,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
AVRPMAD48CBN,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
AVRPMAD48RBN,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
AVRPMAD48SKS,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,0
HS48DBN,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
S-90000708,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
S-90001293,M_15th,,,,,,,,,,,,,,,,,,,,,,4,,
S-90002065,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
S-90002467,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
SEN48OPW,M_15th,,,,,,,,,,,,,,,,,,,,,,0,,
VENTILUS6WHT,M_15th,,,,,,,,,,,,,,,,,,,,,,24,,
S-102001257,M_15th,,,,,,,,,,,,,,,,,,,,,,,2,
S-90000336,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90000338,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90000407,M_15th,,,,,,,,,,,,,,,,,,,,,,,4,
S-90000409,M_15th,,,,,,,,,,,,,,,,,,,,,,,1,
S-90000410,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90000697,M_15th,,,,,,,,,,,,,,,,,,,,,,,20,
S-90000772,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90000991,M_15th,,,,,,,,,,,,,,,,,,,,,,,10,
S-90000992,M_15th,,,,,,,,,,,,,,,,,,,,,,,10,
S-90000993,M_15th,,,,,,,,,,,,,,,,,,,,,,,10,
S-90001033,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001034,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001035,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001257,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001264,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001265,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001266,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001268,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001273,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001274,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001275,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001872,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001873,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90001874,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90002025,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
S-90002433,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
SMART48MB,M_15th,,,,,,,,,,,,,,,,,,,,,,,0,
ARYBRZ48LBN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,820
AURPMAD56BKE,M_15th,,,,,,,,,,,,,,,,,,,,,,,,0
AVR36SWT,M_15th,,,,,,,,,,,,,,,,,,,,,,,,0
AVRPMAD48MMT,M_15th,,,,,,,,,,,,,,,,,,,,,,,,0
